"","original_title","year","Genre","duration","votes"
"357","Dead Men Don't Wear Plaid",1982,"Comedy",88,20030
"358","Deadly Games",1982,"Horror",92,229
"359","Death Valley",1982,"Crime",87,1348
"360","Deathtrap",1982,"Comedy",116,11707
"361","Diner",1982,"Comedy",110,18232
"362","Dreams Come True",1984,"Action/Adventure",95,305
"363","E.T. the Extra-Terrestrial",1982,"Family",115,362758
"364","Eating Raoul",1982,"Comedy",90,6811
"365","Endangered Species",1982,"Drama",97,881
"366","The Escape Artist",1982,"Comedy",94,617
"367","The Evil Dead",1981,"Horror",85,182354
"368","Fake-Out",1982,"Action/Adventure",96,173
"369","Fast Times at Ridgemont High",1982,"Comedy",90,90936
"370","Fast-Walking",1982,"Drama",115,589
"371","Fighting Back",1982,"Action/Adventure",98,441
"372","Firefox",1982,"Action/Adventure",136,24666
"373","First Blood",1982,"Action/Adventure",93,221509
"374","Five Days One Summer",1982,"Drama",96,934
"375","Forbidden World",1982,"Horror",77,4143
"376","Forty Deuce",1982,"Drama",89,173
"377","Foxfire Light",1983,"Drama",102,226
"378","Frances",1982,"Drama",140,6823
"379","Friday the 13th Part III",1982,"Horror",95,45951
"380","Frightmare",1983,"Comedy",86,1144
"381","Goin' All the Way!",1981,"Comedy",85,185
"382","Grease 2",1982,"Comedy",115,32178
"383","Hanky Panky",1982,"Action/Adventure",110,2327
"384","Heidi's Song",1982,"Family",94,244
"385","Hey Good Lookin'",1982,"Family",76,810
"386","Homework",1982,"Comedy",90,326
"387","Honkytonk Man",1982,"Comedy",122,7839
"388","Human Highway",1982,"Comedy",88,618
"389","I Ought to Be in Pictures",1982,"Comedy",108,870
"390","I'm Dancing as Fast as I Can",1982,"Drama",107,454
"391","I, the Jury",1982,"Crime",111,1412
"392","Jekyll and Hyde... Together Again",1982,"Sci-Fi/Fantasy",87,1084
"393","Jinxed!",1982,"Comedy",103,934
"394","The Junkman",1982,"Action/Adventure",96,648
"395","Kiss Me Goodbye",1982,"Comedy",101,1865
"396","The Last American Virgin",1982,"Comedy",92,7686
"397","Let's Do It!",1982,"Comedy",82,118
"398","A Little Sex",1982,"Comedy",95,481
"399","Lookin' to Get Out",1982,"Comedy",105,654
"400","Losing Ground",1982,"Comedy",86,446
"401","Love Child",1982,"Crime",96,244
"402","Making Love",1982,"Drama",113,2381
"403","A Midsummer Night's Sex Comedy",1982,"Comedy",88,18154
"404","Mongrel",1983,"Horror",88,129
"405","Monsignor",1982,"Crime",121,817
"406","Mother Lode",1982,"Action/Adventure",101,1165
"407","My Favorite Year",1982,"Comedy",92,8489
"408","Class Reunion",1982,"Comedy",84,1896
"409","Night Shift",1982,"Comedy",106,13702
"410","O'Hara's Wife",1982,"Comedy",87,211
"411","An Officer and a Gentleman",1982,"Drama",124,48093
"412","One from the Heart",1981,"Drama",107,5265
"413","Out",1982,"Drama",83,289
"414","P.K. and the Kid",1987,"Drama",89,172
"415","Pandemonium",1982,"Comedy",82,976
"416","Parasite",1982,"Horror",85,2152
"417","Partners",1982,"Comedy",93,1105
"418","Penitentiary II",1982,"Crime",108,518
"419","Permanent Vacation",1980,"Comedy",75,8343
"420","Personal Best",1982,"Drama",124,2437
"421","Poltergeist",1982,"Horror",114,139180
"422","Preppies",1984,"Comedy",83,240
"423","Purple Haze",1982,"Drama",97,139
"424","Q",1982,"Crime",93,6703
"425","Reuben, Reuben",1983,"Comedy",101,947
"426","Richard Pryor: Live on the Sunset Strip",1982,"Comedy",82,3694
"427","Ruckus",1980,"Action/Adventure",93,610
"428","Savannah Smiles",1982,"Comedy",105,1819
"429","The Secret of NIMH",1982,"Family",82,35484
"430","The Seduction",1982,"Horror",104,995
"431","Shoot the Moon",1982,"Drama",124,2426
"432","Silent Rage",1982,"Action/Adventure",103,4928
"433","Six Pack",1982,"Comedy",108,2650
"434","Six Weeks",1982,"Drama",107,763
"435","The Slayer",1982,"Horror",90,1954
"436","The Slumber Party Massacre",1982,"Horror",77,10595
"437","Smithereens",1982,"Drama",93,1636
"438","The Soldier",1982,"Action/Adventure",87,1013
"439","Soup for One",1982,"Comedy",87,153
"440","Stacy's Knights",1983,"Drama",100,358
"441","Star Trek II: The Wrath of Khan",1982,"Action/Adventure",113,110769
"442","Still of the Night",1982,"Crime",93,4057
"443","A Stranger Is Watching",1982,"Crime",92,572
"444","Summer Lovers",1982,"Comedy",98,3716
"445","Swamp Thing",1982,"Horror",91,12753
"446","The Sword and the Sorcerer",1982,"Action/Adventure",100,5511
"447","Tag: The Assassination Game",1982,"Action/Adventure",90,794
"448","Tempest",1982,"Comedy",140,2110
"449","Tex",1982,"Drama",103,1933
"450","That Championship Season",1982,"Drama",110,547
"451","They Call Me Bruce",1982,"Action/Adventure",87,1398
"452","The Thing",1982,"Horror",109,360147
"453","Things Are Tough All Over",1982,"Action/Adventure",90,3022
"454","Time Walker",1982,"Horror",83,1472
"455","Tootsie",1982,"Comedy",116,96041
"456","The Toy",1982,"Comedy",102,11000
"457","Trick or Treats",1982,"Horror",91,889
"458","TRON",1982,"Action/Adventure",96,111532
"459","The Vals",1983,"Comedy",99,122
"460","The Verdict",1982,"Drama",129,35076
"461","Vigilante",1982,"Action/Adventure",90,2742
"462","Voyager from the Unknown",1982,"Family",91,147
"463","Waltz Across Texas",1982,"Drama",99,191
"464","White Dog",1982,"Drama",90,8488
"465","Wild Style",1982,"Drama",82,2328
"466","The World According to Garp",1982,"Comedy",136,24527
"467","Wrong Is Right",1982,"Comedy",117,1714
"468","Yes, Giorgio",1982,"Comedy",110,633
"469","Young Doctors in Love",1982,"Comedy",96,2893
"470","Zapped!",1982,"Comedy",98,6169
"471","10 to Midnight",1983,"Crime",101,6488
"472","All the Right Moves",1983,"Drama",91,15312
"473","Angel of H.E.A.T.",1983,"Action/Adventure",93,335
"474","Angelo My Love",1983,"Drama",115,191
"475","Anna to the Infinite Power",1983,"Drama",101,401
"476","Baby It's You",1983,"Comedy",105,1668
"477","Bad Boys",1983,"Crime",123,13560
"478","The Being",1983,"Horror",82,1219
"479","The Big Chill",1983,"Comedy",105,32192
"480","The Big Score",1983,"Action/Adventure",85,192
"481","The Black Stallion Returns",1983,"Action/Adventure",103,1973
"482","Blood Rage",1987,"Horror",82,3389
"483","Blue Skies Again",1983,"Comedy",96,169
"484","Blue Thunder",1983,"Action/Adventure",109,16857
"485","Revenge of the Boogeyman",1983,"Horror",79,918
"486","Born in Flames",1983,"Comedy",79,879
"487","Brainstorm",1983,"Sci-Fi/Fantasy",106,10683
"488","Breathless",1983,"Action/Adventure",100,8253
"489","Can She Bake a Cherry Pie?",1983,"Comedy",90,273
"490","Christine",1983,"Horror",110,69722
"491","Class",1983,"Comedy",98,9347
"492","Smorgasbord",1983,"Comedy",89,803
"493","Cross Creek",1983,"Drama",127,1530
"494","Cujo",1983,"Horror",93,38487
"495","D.C. Cab",1983,"Action/Adventure",100,4273
"496","Daffy Duck's Movie: Fantastic Island",1983,"Family",78,1670
"497","Dance of the Dwarfs",1983,"Action/Adventure",93,236
"498","The Dead Zone",1983,"Drama",103,60037
"499","Deadline Auto Theft",1983,"Action/Adventure",98,163
"500","Deadly Force",1983,"Action/Adventure",95,280
"501","Deal of the Century",1983,"Comedy",99,3495
"502","Death Screams",1982,"Horror",88,545
